City,State,Region
Sydney,New South Wales,NSW
Newcastle,New South Wales,NSW
Central Coast,New South Wales,NSW
Wollongong,New South Wales,NSW
Maitland,New South Wales,NSW
Tweed Heads,New South Wales,NSW
Coffs Harbour,New South Wales,NSW
Wagga Wagga,New South Wales,NSW
Albury,New South Wales,NSW
Port Macquarie,New South Wales,NSW
Tamworth,New South Wales,NSW
Orange,New South Wales,NSW
Dubbo,New South Wales,NSW
Bathurst,New South Wales,NSW
Nowra,New South Wales,NSW
Lismore,New South Wales,NSW
Goulburn,New South Wales,NSW
Ballina,New South Wales,NSW
Armidale,New South Wales,NSW
Queanbeyan,New South Wales,NSW
Melbourne,Victoria,VIC
Geelong,Victoria,VIC
Ballarat,Victoria,VIC
Bendigo,Victoria,VIC
Shepparton,Victoria,VIC
Melton,Victoria,VIC
Mildura,Victoria,VIC
Wodonga,Victoria,VIC
Sunbury,Victoria,VIC
Warrnambool,Victoria,VIC
Traralgon,Victoria,VIC
Wangaratta,Victoria,VIC
Horsham,Victoria,VIC
Castlemaine,Victoria,VIC
Brisbane,Queensland,QLD
Gold Coast,Queensland,QLD
Sunshine Coast,Queensland,QLD
Townsville,Queensland,QLD
Cairns,Queensland,QLD
Toowoomba,Queensland,QLD
Mackay,Queensland,QLD
Rockhampton,Queensland,QLD
Bundaberg,Queensland,QLD
Hervey Bay,Queensland,QLD
Gladstone,Queensland,QLD
Maryborough,Queensland,QLD
Adelaide,South Australia,SA
Mount Gambier,South Australia,SA
Whyalla,South Australia,SA
Port Augusta,South Australia,SA
Murray Bridge,South Australia,SA
Perth,Western Australia,WA
Mandurah,Western Australia,WA
Bunbury,Western Australia,WA
Kalgoorlie-Boulder,Western Australia,WA
Geraldton,Western Australia,WA
Albany,Western Australia,WA
Karratha,Western Australia,WA
Broome,Western Australia,WA
Port Hedland,Western Australia,WA
Esperance,Western Australia,WA
Fremantle,Western Australia,WA
Dunsborough,Western Australia,WA
Margaret River,Western Australia,WA
Northam,Western Australia,WA
Joondalup,Western Australia,WA
Rockingham,Western Australia,WA
Busselton,Western Australia,WA
South Hedland,Western Australia,WA
Collie,Western Australia,WA
Wongan Hills,Western Australia,WA
Manjimup,Western Australia,WA
Narrogin,Western Australia,WA
Laverton,Western Australia,WA
Yanchep,Western Australia,WA
Kununurra,Western Australia,WA
Newman,Western Australia,WA
Carnarvon,Western Australia,WA
Pinjarra,Western Australia,WA
Katanning,Western Australia,WA
Derby,Western Australia,WA
Denmark,Western Australia,WA
Harvey,Western Australia,WA
Jurien Bay,Western Australia,WA
Exmouth,Western Australia,WA
Dongara,Western Australia,WA
Bridgetown,Western Australia,WA
Donnybrook,Western Australia,WA
Gingin,Western Australia,WA
Halls Creek,Western Australia,WA
Kalbarri,Western Australia,WA
Kojonup,Western Australia,WA
Lake Grace,Western Australia,WA
Meekatharra,Western Australia,WA
Moora,Western Australia,WA
Mount Barker,Western Australia,WA
Nannup,Western Australia,WA
Pemberton,Western Australia,WA
Quairading,Western Australia,WA
Ravensthorpe,Western Australia,WA
Tom Price,Western Australia,WA
Hobart,Tasmania,TAS
Launceston,Tasmania,TAS
Devonport,Tasmania,TAS
Burnie,Tasmania,TAS
Canberra,Australian Capital Territory,ACT
Darwin,Northern Territory,NT
Alice Springs,Northern Territory,NT
